"node1","node2","region1","region2","proportion_control","proportion_autism","risk_difference","effect_range","p_value","p_adjusted","p_by","selected","rank"
2,7,"Precentral_R","Frontal_Mid_L",0.145454545454545,0.109090909090909,-0.0363636363636364,0.0363636363636364,0.775847219468156,1,1,FALSE,2240
3,7,"Frontal_Sup_L","Frontal_Mid_L",1,0.981818181818182,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2670
4,7,"Frontal_Sup_R","Frontal_Mid_L",0.327272727272727,0.254545454545455,-0.0727272727272728,0.0727272727272728,0.529223317330229,1,1,FALSE,1549
5,7,"Frontal_Sup_Orb_L","Frontal_Mid_L",0.618181818181818,0.709090909090909,0.0909090909090909,0.0909090909090909,0.419755829539315,1,1,FALSE,1033
6,7,"Frontal_Sup_Orb_R","Frontal_Mid_L",0.145454545454545,0.109090909090909,-0.0363636363636364,0.0363636363636364,0.775847219468156,1,1,FALSE,2244
1,8,"Precentral_L","Frontal_Mid_R",0.109090909090909,0.0727272727272727,-0.0363636363636364,0.0363636363636364,0.741953348477847,1,1,FALSE,2134
2,8,"Precentral_R","Frontal_Mid_R",0.327272727272727,0.309090909090909,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2466
3,8,"Frontal_Sup_L","Frontal_Mid_R",0.581818181818182,0.618181818181818,0.0363636363636364,0.0363636363636364,0.84582542658479,1,1,FALSE,2408
4,8,"Frontal_Sup_R","Frontal_Mid_R",0.927272727272727,0.909090909090909,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2675
5,8,"Frontal_Sup_Orb_L","Frontal_Mid_R",0.127272727272727,0.163636363636364,0.0363636363636364,0.0363636363636364,0.78764473423299,1,1,FALSE,2268
6,8,"Frontal_Sup_Orb_R","Frontal_Mid_R",0.436363636363636,0.327272727272727,-0.109090909090909,0.109090909090909,0.32650846283772,1,1,FALSE,811
7,8,"Frontal_Mid_L","Frontal_Mid_R",0.781818181818182,0.745454545454545,-0.0363636363636364,0.0363636363636364,0.822773070595087,1,1,FALSE,2336
1,9,"Precentral_L","Frontal_Mid_Orb_L",0.0727272727272727,0.0727272727272727,0,0,1,1,1,FALSE,4222
2,9,"Precentral_R","Frontal_Mid_Orb_L",0.0181818181818182,0.0181818181818182,0,0,1,1,1,FALSE,4249
3,9,"Frontal_Sup_L","Frontal_Mid_Orb_L",0.436363636363636,0.418181818181818,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2671
4,9,"Frontal_Sup_R","Frontal_Mid_Orb_L",0.181818181818182,0.0909090909090909,-0.0909090909090909,0.0909090909090909,0.266166492306464,1,1,FALSE,670
5,9,"Frontal_Sup_Orb_L","Frontal_Mid_Orb_L",0.763636363636364,0.8,0.0363636363636364,0.0363636363636364,0.817827202797741,1,1,FALSE,2324
6,9,"Frontal_Sup_Orb_R","Frontal_Mid_Orb_L",0.2,0.109090909090909,-0.0909090909090909,0.0909090909090909,0.291362613125644,1,1,FALSE,728
7,9,"Frontal_Mid_L","Frontal_Mid_Orb_L",0.690909090909091,0.672727272727273,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2469
8,9,"Frontal_Mid_R","Frontal_Mid_Orb_L",0.254545454545455,0.218181818181818,-0.0363636363636363,0.0363636363636363,0.822773070595087,1,1,FALSE,2339
1,10,"Precentral_L","Frontal_Mid_Orb_R",0.0545454545454545,0,-0.0545454545454545,0.0545454545454545,0.243119266055046,1,1,FALSE,520
2,10,"Precentral_R","Frontal_Mid_Orb_R",0.127272727272727,0.0545454545454545,-0.0727272727272727,0.0727272727272727,0.320308493049491,1,1,FALSE,772
3,10,"Frontal_Sup_L","Frontal_Mid_Orb_R",0.2,0.0727272727272727,-0.127272727272727,0.127272727272727,0.0930885239100902,1,1,FALSE,191
4,10,"Frontal_Sup_R","Frontal_Mid_Orb_R",0.418181818181818,0.218181818181818,-0.2,0.2,0.0398703924662542,1,1,FALSE,88
5,10,"Frontal_Sup_Orb_L","Frontal_Mid_Orb_R",0.363636363636364,0.181818181818182,-0.181818181818182,0.181818181818182,0.0530000581284747,1,1,FALSE,108
6,10,"Frontal_Sup_Orb_R","Frontal_Mid_Orb_R",0.618181818181818,0.636363636363636,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2680
7,10,"Frontal_Mid_L","Frontal_Mid_Orb_R",0.327272727272727,0.181818181818182,-0.145454545454545,0.145454545454545,0.124634456179733,1,1,FALSE,308
8,10,"Frontal_Mid_R","Frontal_Mid_Orb_R",0.854545454545454,0.763636363636364,-0.0909090909090908,0.0909090909090908,0.332035164028184,1,1,FALSE,829
9,10,"Frontal_Mid_Orb_L","Frontal_Mid_Orb_R",0.472727272727273,0.309090909090909,-0.163636363636364,0.163636363636364,0.117540563443615,1,1,FALSE,230
1,11,"Precentral_L","Frontal_Inf_Oper_L",0.781818181818182,0.672727272727273,-0.109090909090909,0.109090909090909,0.284368293516084,1,1,FALSE,725
2,11,"Precentral_R","Frontal_Inf_Oper_L",0.2,0.254545454545455,0.0545454545454545,0.0545454545454545,0.649667697687963,1,1,FALSE,1893
3,11,"Frontal_Sup_L","Frontal_Inf_Oper_L",0.2,0.109090909090909,-0.0909090909090909,0.0909090909090909,0.291362613125644,1,1,FALSE,727
4,11,"Frontal_Sup_R","Frontal_Inf_Oper_L",0,0.0363636363636364,0.0363636363636364,0.0363636363636364,0.495412844036697,1,1,FALSE,1211
5,11,"Frontal_Sup_Orb_L","Frontal_Inf_Oper_L",0.0363636363636364,0.0727272727272727,0.0363636363636364,0.0363636363636364,0.678654107617496,1,1,FALSE,1939
6,11,"Frontal_Sup_Orb_R","Frontal_Inf_Oper_L",0,0,0,0,1,1,1,FALSE,4370
7,11,"Frontal_Mid_L","Frontal_Inf_Oper_L",0.327272727272727,0.327272727272727,0,0,1,1,1,FALSE,4429
8,11,"Frontal_Mid_R","Frontal_Inf_Oper_L",0.0363636363636364,0,-0.0363636363636364,0.0363636363636364,0.495412844036697,1,1,FALSE,1234
9,11,"Frontal_Mid_Orb_L","Frontal_Inf_Oper_L",0.0727272727272727,0.0545454545454545,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2980
10,11,"Frontal_Mid_Orb_R","Frontal_Inf_Oper_L",0.0181818181818182,0,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2997
1,12,"Precentral_L","Frontal_Inf_Oper_R",0.163636363636364,0.218181818181818,0.0545454545454545,0.0545454545454545,0.628309889660844,1,1,FALSE,1869
2,12,"Precentral_R","Frontal_Inf_Oper_R",0.545454545454545,0.672727272727273,0.127272727272727,0.127272727272727,0.240903809631543,1,1,FALSE,516
3,12,"Frontal_Sup_L","Frontal_Inf_Oper_R",0.0727272727272727,0.0363636363636364,-0.0363636363636364,0.0363636363636364,0.678654107617496,1,1,FALSE,1937
4,12,"Frontal_Sup_R","Frontal_Inf_Oper_R",0.327272727272727,0.236363636363636,-0.0909090909090909,0.0909090909090909,0.396830775384208,1,1,FALSE,1003
5,12,"Frontal_Sup_Orb_L","Frontal_Inf_Oper_R",0.0181818181818182,0.0727272727272727,0.0545454545454545,0.0545454545454545,0.363371345279945,1,1,FALSE,899
6,12,"Frontal_Sup_Orb_R","Frontal_Inf_Oper_R",0.0545454545454545,0.109090909090909,0.0545454545454545,0.0545454545454545,0.488966435220834,1,1,FALSE,1161
7,12,"Frontal_Mid_L","Frontal_Inf_Oper_R",0.218181818181818,0.145454545454545,-0.0727272727272727,0.0727272727272727,0.459010046442181,1,1,FALSE,1138
8,12,"Frontal_Mid_R","Frontal_Inf_Oper_R",0.581818181818182,0.545454545454545,-0.0363636363636364,0.0363636363636364,0.847666976673362,1,1,FALSE,2417
9,12,"Frontal_Mid_Orb_L","Frontal_Inf_Oper_R",0,0.0363636363636364,0.0363636363636364,0.0363636363636364,0.495412844036697,1,1,FALSE,1237
10,12,"Frontal_Mid_Orb_R","Frontal_Inf_Oper_R",0.236363636363636,0.218181818181818,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2688
11,12,"Frontal_Inf_Oper_L","Frontal_Inf_Oper_R",0.363636363636364,0.4,0.0363636363636364,0.0363636363636364,0.844559971809837,1,1,FALSE,2398
1,13,"Precentral_L","Frontal_Inf_Tri_L",0.636363636363636,0.636363636363636,0,0,1,1,1,FALSE,4223
2,13,"Precentral_R","Frontal_Inf_Tri_L",0.0909090909090909,0.127272727272727,0.0363636363636363,0.0363636363636363,0.761067915257265,1,1,FALSE,2190
3,13,"Frontal_Sup_L","Frontal_Inf_Tri_L",0.254545454545455,0.254545454545455,0,0,1,1,1,FALSE,2535
4,13,"Frontal_Sup_R","Frontal_Inf_Tri_L",0.0363636363636364,0,-0.0363636363636364,0.0363636363636364,0.495412844036697,1,1,FALSE,1212
5,13,"Frontal_Sup_Orb_L","Frontal_Inf_Tri_L",0.145454545454545,0.218181818181818,0.0727272727272727,0.0727272727272727,0.459010046442181,1,1,FALSE,1137
6,13,"Frontal_Sup_Orb_R","Frontal_Inf_Tri_L",0,0,0,0,1,1,1,FALSE,4371
7,13,"Frontal_Mid_L","Frontal_Inf_Tri_L",0.527272727272727,0.527272727272727,0,0,1,1,1,FALSE,4430
8,13,"Frontal_Mid_R","Frontal_Inf_Tri_L",0.0181818181818182,0,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2956
9,13,"Frontal_Mid_Orb_L","Frontal_Inf_Tri_L",0.363636363636364,0.345454545454545,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2565
10,13,"Frontal_Mid_Orb_R","Frontal_Inf_Tri_L",0.0181818181818182,0,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2998
11,13,"Frontal_Inf_Oper_L","Frontal_Inf_Tri_L",0.872727272727273,0.909090909090909,0.0363636363636364,0.0363636363636364,0.761067915257266,1,1,FALSE,2235
12,13,"Frontal_Inf_Oper_R","Frontal_Inf_Tri_L",0.309090909090909,0.218181818181818,-0.0909090909090909,0.0909090909090909,0.386965645395776,1,1,FALSE,977
1,14,"Precentral_L","Frontal_Inf_Tri_R",0.163636363636364,0.236363636363636,0.0727272727272727,0.0727272727272727,0.475179132592278,1,1,FALSE,1148
2,14,"Precentral_R","Frontal_Inf_Tri_R",0.581818181818182,0.581818181818182,0,0,1,1,1,FALSE,4250
3,14,"Frontal_Sup_L","Frontal_Inf_Tri_R",0.0545454545454545,0.0727272727272727,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2848
4,14,"Frontal_Sup_R","Frontal_Inf_Tri_R",0.254545454545455,0.2,-0.0545454545454545,0.0545454545454545,0.649667697687963,1,1,FALSE,1894
5,14,"Frontal_Sup_Orb_L","Frontal_Inf_Tri_R",0.0545454545454545,0.0181818181818182,-0.0363636363636364,0.0363636363636364,0.618022807167967,1,1,FALSE,1714
6,14,"Frontal_Sup_Orb_R","Frontal_Inf_Tri_R",0.0909090909090909,0.0545454545454545,-0.0363636363636364,0.0363636363636364,0.716092464011574,1,1,FALSE,2072
7,14,"Frontal_Mid_L","Frontal_Inf_Tri_R",0.218181818181818,0.163636363636364,-0.0545454545454545,0.0545454545454545,0.628309889660844,1,1,FALSE,1872
8,14,"Frontal_Mid_R","Frontal_Inf_Tri_R",0.636363636363636,0.509090909090909,-0.127272727272727,0.127272727272727,0.247389408509494,1,1,FALSE,639
9,14,"Frontal_Mid_Orb_L","Frontal_Inf_Tri_R",0.127272727272727,0.0363636363636364,-0.0909090909090909,0.0909090909090909,0.16138081677265,1,1,FALSE,354
10,14,"Frontal_Mid_Orb_R","Frontal_Inf_Tri_R",0.290909090909091,0.272727272727273,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2444
11,14,"Frontal_Inf_Oper_L","Frontal_Inf_Tri_R",0.290909090909091,0.363636363636364,0.0727272727272728,0.0727272727272728,0.542451809687405,1,1,FALSE,1566
12,14,"Frontal_Inf_Oper_R","Frontal_Inf_Tri_R",0.890909090909091,0.981818181818182,0.0909090909090909,0.0909090909090909,0.11296407442339,1,1,FALSE,212
13,14,"Frontal_Inf_Tri_L","Frontal_Inf_Tri_R",0.636363636363636,0.654545454545455,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2471
1,15,"Precentral_L","Frontal_Inf_Orb_L",0.236363636363636,0.181818181818182,-0.0545454545454545,0.0545454545454545,0.639794696440987,1,1,FALSE,1882
2,15,"Precentral_R","Frontal_Inf_Orb_L",0,0.0727272727272727,0.0727272727272727,0.0727272727272727,0.118151419017406,1,1,FALSE,231
3,15,"Frontal_Sup_L","Frontal_Inf_Orb_L",0.290909090909091,0.290909090909091,0,0,1,1,1,FALSE,2615
4,15,"Frontal_Sup_R","Frontal_Inf_Orb_L",0.145454545454545,0.0727272727272727,-0.0727272727272727,0.0727272727272727,0.359662012889472,1,1,FALSE,859
5,15,"Frontal_Sup_Orb_L","Frontal_Inf_Orb_L",0.2,0.309090909090909,0.109090909090909,0.109090909090909,0.27367249901379,1,1,FALSE,720
6,15,"Frontal_Sup_Orb_R","Frontal_Inf_Orb_L",0.0545454545454545,0,-0.0545454545454545,0.0545454545454545,0.243119266055046,1,1,FALSE,529
7,15,"Frontal_Mid_L","Frontal_Inf_Orb_L",0.309090909090909,0.236363636363636,-0.0727272727272727,0.0727272727272727,0.521131413238452,1,1,FALSE,1504
8,15,"Frontal_Mid_R","Frontal_Inf_Orb_L",0.0363636363636364,0.0363636363636364,0,0,1,1,1,FALSE,4470
9,15,"Frontal_Mid_Orb_L","Frontal_Inf_Orb_L",0.490909090909091,0.454545454545455,-0.0363636363636364,0.0363636363636364,0.848661974684105,1,1,FALSE,2429
10,15,"Frontal_Mid_Orb_R","Frontal_Inf_Orb_L",0.0909090909090909,0,-0.0909090909090909,0.0909090909090909,0.0568464374517706,1,1,FALSE,119
11,15,"Frontal_Inf_Oper_L","Frontal_Inf_Orb_L",0.636363636363636,0.509090909090909,-0.127272727272727,0.127272727272727,0.247389408509494,1,1,FALSE,640
12,15,"Frontal_Inf_Oper_R","Frontal_Inf_Orb_L",0.0909090909090909,0.0545454545454545,-0.0363636363636364,0.0363636363636364,0.716092464011574,1,1,FALSE,2075
13,15,"Frontal_Inf_Tri_L","Frontal_Inf_Orb_L",0.6,0.709090909090909,0.109090909090909,0.109090909090909,0.31610854037312,1,1,FALSE,770
14,15,"Frontal_Inf_Tri_R","Frontal_Inf_Orb_L",0.127272727272727,0.145454545454545,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2695
1,16,"Precentral_L","Frontal_Inf_Orb_R",0.0727272727272727,0.0363636363636364,-0.0363636363636364,0.0363636363636364,0.678654107617496,1,1,FALSE,1929
2,16,"Precentral_R","Frontal_Inf_Orb_R",0.145454545454545,0.236363636363636,0.0909090909090909,0.0909090909090909,0.332035164028184,1,1,FALSE,820
3,16,"Frontal_Sup_L","Frontal_Inf_Orb_R",0.0545454545454545,0.0363636363636364,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2849
4,16,"Frontal_Sup_R","Frontal_Inf_Orb_R",0.581818181818182,0.490909090909091,-0.0909090909090909,0.0909090909090909,0.444563530981193,1,1,FALSE,1127
5,16,"Frontal_Sup_Orb_L","Frontal_Inf_Orb_R",0.145454545454545,0.127272727272727,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2677
6,16,"Frontal_Sup_Orb_R","Frontal_Inf_Orb_R",0.272727272727273,0.218181818181818,-0.0545454545454545,0.0545454545454545,0.658205207576239,1,1,FALSE,1903
7,16,"Frontal_Mid_L","Frontal_Inf_Orb_R",0.2,0.0363636363636364,-0.163636363636364,0.163636363636364,0.015332099840614,1,1,FALSE,36
8,16,"Frontal_Mid_R","Frontal_Inf_Orb_R",0.4,0.490909090909091,0.0909090909090909,0.0909090909090909,0.44304703086807,1,1,FALSE,1124
9,16,"Frontal_Mid_Orb_L","Frontal_Inf_Orb_R",0.345454545454545,0.181818181818182,-0.163636363636364,0.163636363636364,0.0824272055668361,1,1,FALSE,175
10,16,"Frontal_Mid_Orb_R","Frontal_Inf_Orb_R",0.436363636363636,0.509090909090909,0.0727272727272727,0.0727272727272727,0.566911675700932,1,1,FALSE,1636
11,16,"Frontal_Inf_Oper_L","Frontal_Inf_Orb_R",0.109090909090909,0.0909090909090909,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,4143
12,16,"Frontal_Inf_Oper_R","Frontal_Inf_Orb_R",0.672727272727273,0.6,-0.0727272727272728,0.0727272727272728,0.552383268414994,1,1,FALSE,1575
13,16,"Frontal_Inf_Tri_L","Frontal_Inf_Orb_R",0.290909090909091,0.218181818181818,-0.0727272727272727,0.0727272727272727,0.511878601663095,1,1,FALSE,1499
14,16,"Frontal_Inf_Tri_R","Frontal_Inf_Orb_R",0.8,0.8,0,0,1,1,1,FALSE,2624
15,16,"Frontal_Inf_Orb_L","Frontal_Inf_Orb_R",0.618181818181818,0.490909090909091,-0.127272727272727,0.127272727272727,0.249624334621585,1,1,FALSE,651
1,17,"Precentral_L","Rolandic_Oper_L",0.272727272727273,0.363636363636364,0.0909090909090909,0.0909090909090909,0.413114166796256,1,1,FALSE,1013
2,17,"Precentral_R","Rolandic_Oper_L",0.236363636363636,0.109090909090909,-0.127272727272727,0.127272727272727,0.128740272503646,1,1,FALSE,313
3,17,"Frontal_Sup_L","Rolandic_Oper_L",0,0,0,0,1,1,1,FALSE,4275
4,17,"Frontal_Sup_R","Rolandic_Oper_L",0,0,0,0,1,1,1,FALSE,4299
5,17,"Frontal_Sup_Orb_L","Rolandic_Oper_L",0,0,0,0,1,1,1,FALSE,4321
6,17,"Frontal_Sup_Orb_R","Rolandic_Oper_L",0,0,0,0,1,1,1,FALSE,4372
7,17,"Frontal_Mid_L","Rolandic_Oper_L",0,0,0,0,1,1,1,FALSE,4431
8,17,"Frontal_Mid_R","Rolandic_Oper_L",0,0,0,0,1,1,1,FALSE,4471
9,17,"Frontal_Mid_Orb_L","Rolandic_Oper_L",0,0,0,0,1,1,1,FALSE,4508
10,17,"Frontal_Mid_Orb_R","Rolandic_Oper_L",0,0.0181818181818182,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2999
11,17,"Frontal_Inf_Oper_L","Rolandic_Oper_L",0.145454545454545,0.127272727272727,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2689
12,17,"Frontal_Inf_Oper_R","Rolandic_Oper_L",0.0363636363636364,0.0545454545454545,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,3044
13,17,"Frontal_Inf_Tri_L","Rolandic_Oper_L",0.0363636363636364,0.109090909090909,0.0727272727272727,0.0727272727272727,0.270576022922045,1,1,FALSE,688
14,17,"Frontal_Inf_Tri_R","Rolandic_Oper_L",0.0181818181818182,0.0727272727272727,0.0545454545454545,0.0545454545454545,0.363371345279945,1,1,FALSE,908
15,17,"Frontal_Inf_Orb_L","Rolandic_Oper_L",0,0.0181818181818182,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,3120
16,17,"Frontal_Inf_Orb_R","Rolandic_Oper_L",0,0.0181818181818182,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,3149
1,18,"Precentral_L","Rolandic_Oper_R",0.163636363636364,0.163636363636364,0,0,1,1,1,FALSE,2611
2,18,"Precentral_R","Rolandic_Oper_R",0.2,0.309090909090909,0.109090909090909,0.109090909090909,0.27367249901379,1,1,FALSE,719
3,18,"Frontal_Sup_L","Rolandic_Oper_R",0,0,0,0,1,1,1,FALSE,4276
4,18,"Frontal_Sup_R","Rolandic_Oper_R",0.0181818181818182,0,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2871
5,18,"Frontal_Sup_Orb_L","Rolandic_Oper_R",0,0.0181818181818182,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2895
6,18,"Frontal_Sup_Orb_R","Rolandic_Oper_R",0,0,0,0,1,1,1,FALSE,4373
7,18,"Frontal_Mid_L","Rolandic_Oper_R",0,0,0,0,1,1,1,FALSE,4432
8,18,"Frontal_Mid_R","Rolandic_Oper_R",0,0,0,0,1,1,1,FALSE,4472
9,18,"Frontal_Mid_Orb_L","Rolandic_Oper_R",0,0,0,0,1,1,1,FALSE,4509
10,18,"Frontal_Mid_Orb_R","Rolandic_Oper_R",0,0.0181818181818182,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,3000
11,18,"Frontal_Inf_Oper_L","Rolandic_Oper_R",0.0545454545454545,0.0727272727272727,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,3021
12,18,"Frontal_Inf_Oper_R","Rolandic_Oper_R",0.109090909090909,0.163636363636364,0.0545454545454545,0.0545454545454545,0.579713536502793,1,1,FALSE,1653
13,18,"Frontal_Inf_Tri_L","Rolandic_Oper_R",0.0363636363636364,0.0363636363636364,0,0,1,1,1,FALSE,4710
14,18,"Frontal_Inf_Tri_R","Rolandic_Oper_R",0.0727272727272727,0.163636363636364,0.0909090909090909,0.0909090909090909,0.236782655021779,1,1,FALSE,498
15,18,"Frontal_Inf_Orb_L","Rolandic_Oper_R",0,0,0,0,1,1,1,FALSE,4787
16,18,"Frontal_Inf_Orb_R","Rolandic_Oper_R",0.0363636363636364,0.0363636363636364,0,0,1,1,1,FALSE,4816
17,18,"Rolandic_Oper_L","Rolandic_Oper_R",0.963636363636364,0.909090909090909,-0.0545454545454546,0.0545454545454546,0.437644688330618,1,1,FALSE,1047
1,19,"Precentral_L","Supp_Motor_Area_L",0.581818181818182,0.454545454545455,-0.127272727272727,0.127272727272727,0.252156681343796,1,1,FALSE,656
2,19,"Precentral_R","Supp_Motor_Area_L",0.218181818181818,0.127272727272727,-0.0909090909090909,0.0909090909090909,0.313124011328227,1,1,FALSE,758
3,19,"Frontal_Sup_L","Supp_Motor_Area_L",0.654545454545455,0.581818181818182,-0.0727272727272728,0.0727272727272728,0.556289374075352,1,1,FALSE,1611
4,19,"Frontal_Sup_R","Supp_Motor_Area_L",0.218181818181818,0.218181818181818,0,0,1,1,1,FALSE,4300
5,19,"Frontal_Sup_Orb_L","Supp_Motor_Area_L",0.0909090909090909,0.127272727272727,0.0363636363636363,0.0363636363636363,0.761067915257265,1,1,FALSE,2192
6,19,"Frontal_Sup_Orb_R","Supp_Motor_Area_L",0,0,0,0,1,1,1,FALSE,4374
7,19,"Frontal_Mid_L","Supp_Motor_Area_L",0.454545454545455,0.527272727272727,0.0727272727272727,0.0727272727272727,0.567423019256256,1,1,FALSE,1644
8,19,"Frontal_Mid_R","Supp_Motor_Area_L",0.0909090909090909,0.0727272727272727,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2685
9,19,"Frontal_Mid_Orb_L","Supp_Motor_Area_L",0.0727272727272727,0.0727272727272727,0,0,1,1,1,FALSE,4510
10,19,"Frontal_Mid_Orb_R","Supp_Motor_Area_L",0,0,0,0,1,1,1,FALSE,4570
11,19,"Frontal_Inf_Oper_L","Supp_Motor_Area_L",0.2,0.218181818181818,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,4190
12,19,"Frontal_Inf_Oper_R","Supp_Motor_Area_L",0,0.0181818181818182,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,3045
13,19,"Frontal_Inf_Tri_L","Supp_Motor_Area_L",0.109090909090909,0.0363636363636364,-0.0727272727272727,0.0727272727272727,0.270576022922045,1,1,FALSE,689
14,19,"Frontal_Inf_Tri_R","Supp_Motor_Area_L",0,0,0,0,1,1,1,FALSE,4753
15,19,"Frontal_Inf_Orb_L","Supp_Motor_Area_L",0.181818181818182,0.127272727272727,-0.0545454545454546,0.0545454545454546,0.598884497995648,1,1,FALSE,1680
16,19,"Frontal_Inf_Orb_R","Supp_Motor_Area_L",0,0,0,0,1,1,1,FALSE,4817
17,19,"Rolandic_Oper_L","Supp_Motor_Area_L",0.0545454545454545,0.0545454545454545,0,0,1,1,1,FALSE,4852
18,19,"Rolandic_Oper_R","Supp_Motor_Area_L",0.0181818181818182,0.0545454545454545,0.0363636363636364,0.0363636363636364,0.618022807167967,1,1,FALSE,1741
1,20,"Precentral_L","Supp_Motor_Area_R",0.781818181818182,0.781818181818182,0,0,1,1,1,FALSE,4224
2,20,"Precentral_R","Supp_Motor_Area_R",0.836363636363636,0.890909090909091,0.0545454545454546,0.0545454545454546,0.579713536502793,1,1,FALSE,1650
3,20,"Frontal_Sup_L","Supp_Motor_Area_R",0.490909090909091,0.4,-0.0909090909090909,0.0909090909090909,0.44304703086807,1,1,FALSE,1123
4,20,"Frontal_Sup_R","Supp_Motor_Area_R",0.436363636363636,0.490909090909091,0.0545454545454546,0.0545454545454546,0.702368550212073,1,1,FALSE,2061
5,20,"Frontal_Sup_Orb_L","Supp_Motor_Area_R",0.109090909090909,0.145454545454545,0.0363636363636364,0.0363636363636364,0.775847219468156,1,1,FALSE,2243
6,20,"Frontal_Sup_Orb_R","Supp_Motor_Area_R",0.0363636363636364,0.0181818181818182,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2914
7,20,"Frontal_Mid_L","Supp_Motor_Area_R",0.581818181818182,0.581818181818182,0,0,1,1,1,FALSE,4433
8,20,"Frontal_Mid_R","Supp_Motor_Area_R",0.363636363636364,0.472727272727273,0.109090909090909,0.109090909090909,0.333853009989104,1,1,FALSE,833
